 YRF Movies(Produced),Box Office Collection (India in CR),Budget (in Cr),Release Year,Genre,IMDB Rating (out of 10),Director's Name,Producer,Verdict
Daag : A poem of Love,3.25,0.95,1973,"Romance ,Drama",7,Yash Chopra,Yash Chopra,Super Hit
Kabhie Kabhie,4,1.2,1976,"Romance ,Drama",7.2,Yash Chopra,Yash Chopra,Super Hit
Doosra Aadmi,2,3,1977,"Romance ,Drama",6.6,Ramesh Talwar,Yash Chopra,Hit
Noorie,2.5,75,1979,"Romance ,Drama,Thriller",6.2,Manmohan Krishna,Yash Chopra,Super Hit
Kaala Patthar,3,2.5,1979,Action,7.6,Yash Chopra,Yash Chopra,Average
Naakhuda,1,0.75,1981,Drama,6.6,dolip Naik,Yash Chopra,flop
Silsila,3.5,3,1981,"Romance,Drama",7.2,Yash Chopra,Yash Chopra,Average
Sawaal,1.6,1.2,1982,Action,5.9,Ramesh Talwar,Yash Chopra,flop
Mashaal,2.9,2.5,1984,Action,7.1,Yash Chopra,Yash Chopra,Super Hit
Faasle,3,2.5,1985,"Romance,Drama",4.8,Yash Chopra,Yash Chopra,flop
Vijay,2.5,1.15,1988,Action,5.4,Yash Chopra,Yash Chopra,Average
Chandni,4,2,1989,"Romance,Drama",6.7,Yash Chopra,Yash Chopra,Blockbuster
Lamhe,3.25,6,1991,"Romance,Drama",7.2,Yash Chopra,Yash Chopra,Disaster
Darr,11,2.25,1993,"Romance,Drama",7.6,Yash Chopra,Yash Chopra,Blockbuster
Aaina,3.5,2.25,1993,"Romance,Drama",6.1,Deepak Sareen,Yash Chopra,Super Hit
Yeh Dillagi,5.72,2,1994,"Romance,Drama",5.9,Naresh Malhotra,Yash Chopra,All Time Blockbuster
Dilwale Dulhania Le Jayenge,53,4,1995,"Romance,Drama",8,Aditya Chopra,Yash Chopra,Super Hit
Dil to Paagal Hai,34,9,1997,"Romance,Drama",8,Yash Chopra,Yash Chopra,Blockbuster
